Country Name,Country Code,Series Name,Series Code,2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024]
French Polynesia,PYF,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
French Polynesia,PYF,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
French Polynesia,PYF,Access to electricity (% of population),EG.ELC.ACCS.ZS,100,100,100,100,100,100,100,100,100,100,100,100,100,100,..
French Polynesia,PYF,Individuals using the Internet (% of population),IT.NET.USER.ZS,49,49,52.8766,56.8,60.68,64.5602,68.4404,72.7039,..,..,..,..,..,..,..
French Polynesia,PYF,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,81.141,81.434,81.695,81.935,82.151,82.339,82.555,82.774,82.985,83.195,82.459,79.571,83.859,84.07,..
French Polynesia,PYF,"School enrollment, primary (% gross)",SE.PRM.ENRR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
French Polynesia,PYF,"School enrollment, secondary (% gross)",SE.SEC.ENRR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
French Polynesia,PYF,Urban population (% of total population),SP.URB.TOTL.IN.ZS,60.317,60.889,61.459,61.583,61.633,61.683,61.734,61.784,61.834,61.897,61.975,62.066,62.17,62.288,62.42
French Polynesia,PYF,Trade (% of GDP),NE.TRD.GNFS.ZS,54.0438821122259,56.2319854247632,57.8806819793666,56.0619675585513,56.2324578944225,55.6304686354336,53.6164949427793,54.5776905038178,65.0146628512067,63.3061124024003,45.8331834386023,51.6376084244727,67.2309662556929,68.7080925223683,..
French Polynesia,PYF,Gross fixed capital formation (% of GDP),NE.GDI.FTOT.ZS,21.3911151590594,18.2181058584856,18.5225671624855,19.2753722131297,18.7512101903912,19.9241635999246,18.6047335720481,19.137286086385,27.0467501379179,25.3054954915658,21.2855657369767,21.4512037493674,21.7636761819601,21.713682309294,..
